config,m_block_sizes,chunk_prefill_size,p_block_sizes,ttft_128_ms,ttft_512_ms,ttft_1024_ms,ttft_2048_ms,ttft_4096_ms
default,"(256, 2048, 128, 512)",None,None,0.277,0.296,0.318,0.364,0.522
m_bq128,"(128, 2048, 128, 512)",None,None,0.283,0.307,0.309,0.356,0.531
m_bq512,"(512, 2048, 128, 512)",None,None,0.300,0.297,0.312,0.316,0.464
m_bq1024,"(1024, 2048, 128, 512)",None,None,0.269,0.269,0.293,0.342,0.486
m_bkv1024,"(256, 1024, 128, 512)",None,None,0.269,0.264,0.290,0.327,0.482
m_bkv4096,"(256, 4096, 128, 512)",None,None,0.269,0.281,0.286,0.332,0.517
m_bqc64,"(256, 2048, 64, 512)",None,None,0.293,0.294,0.282,0.341,0.494
m_bqc256,"(256, 2048, 256, 512)",None,None,0.245,0.274,0.269,0.330,0.498
m_bkvc256,"(256, 2048, 128, 256)",None,None,0.257,0.266,0.262,0.323,0.518
m_bkvc1024,"(256, 2048, 128, 1024)",None,None,0.264,0.280,0.299,0.334,0.508
m_combo_512_4096_256_1024,"(512, 4096, 256, 1024)",None,None,0.262,0.286,0.302,0.332,0.498
m_combo_512_2048_256_512,"(512, 2048, 256, 512)",None,None,0.261,0.269,0.289,0.317,0.455
m_combo_256_4096_128_1024,"(256, 4096, 128, 1024)",None,None,0.248,0.265,0.295,0.344,0.505
m_combo_1024_2048_512_512,"(1024, 2048, 512, 512)",None,None,0.253,0.268,0.299,0.339,0.502
m_combo_256_1024_128_256,"(256, 1024, 128, 256)",None,None,0.262,0.264,0.301,0.342,0.508
m_combo_128_1024_64_256,"(128, 1024, 64, 256)",None,None,0.245,0.248,0.274,0.338,0.535
p_default,None,prefill,None,0.238,0.246,0.283,0.330,0.494
p_256_2048_128_512,None,prefill,"(256, 2048, 128, 512)",0.260,0.253,0.271,0.335,0.498
p_512_2048_256_512,None,prefill,"(512, 2048, 256, 512)",0.279,0.268,0.309,0.365,0.486
p_256_4096_128_1024,None,prefill,"(256, 4096, 128, 1024)",0.281,0.271,0.298,0.326,0.496
p_512_4096_256_1024,None,prefill,"(512, 4096, 256, 1024)",0.233,0.258,0.280,0.326,0.493
p_1024_2048_512_512,None,prefill,"(1024, 2048, 512, 512)",0.265,0.288,0.290,0.334,0.485
p_128_1024_64_256,None,prefill,"(128, 1024, 64, 256)",0.259,0.244,0.290,0.339,0.545
